지점,지점명,일시,기온(°C)
108,서울,2022-06-01 00:01,18.6
108,서울,2022-06-01 00:02,18.6
108,서울,2022-06-01 00:03,18.6
108,서울,2022-06-01 00:04,18.6
108,서울,2022-06-01 00:05,18.6
108,서울,2022-06-01 00:06,18.6
108,서울,2022-06-01 00:07,18.6
108,서울,2022-06-01 00:08,18.5
108,서울,2022-06-01 00:09,18.5
108,서울,2022-06-01 00:10,18.5
108,서울,2022-06-01 00:11,18.5
108,서울,2022-06-01 00:12,18.5
108,서울,2022-06-01 00:13,18.5
108,서울,2022-06-01 00:14,18.5
108,서울,2022-06-01 00:15,18.5
108,서울,2022-06-01 00:16,18.5
108,서울,2022-06-01 00:17,18.5
108,서울,2022-06-01 00:18,18.5
108,서울,2022-06-01 00:19,18.5
108,서울,2022-06-01 00:20,18.4
108,서울,2022-06-01 00:21,18.4
108,서울,2022-06-01 00:22,18.4
108,서울,2022-06-01 00:23,18.4
108,서울,2022-06-01 00:24,18.4
108,서울,2022-06-01 00:25,18.4
108,서울,2022-06-01 00:26,18.4
108,서울,2022-06-01 00:27,18.4
108,서울,2022-06-01 00:28,18.4
108,서울,2022-06-01 00:29,18.4
108,서울,2022-06-01 00:30,18.4
108,서울,2022-06-01 00:31,18.4
108,서울,2022-06-01 00:32,18.4
108,서울,2022-06-01 00:33,18.4
108,서울,2022-06-01 00:34,18.4
108,서울,2022-06-01 00:35,18.4
108,서울,2022-06-01 00:36,18.3
108,서울,2022-06-01 00:37,18.3
108,서울,2022-06-01 00:38,18.3
108,서울,2022-06-01 00:39,18.3
108,서울,2022-06-01 00:40,18.3
108,서울,2022-06-01 00:41,18.3
108,서울,2022-06-01 00:42,18.3
108,서울,2022-06-01 00:43,18.2
108,서울,2022-06-01 00:44,18.2
108,서울,2022-06-01 00:45,18.2
108,서울,2022-06-01 00:46,18.1
108,서울,2022-06-01 00:47,18.1
108,서울,2022-06-01 00:48,18.1
108,서울,2022-06-01 00:49,18.1
108,서울,2022-06-01 00:50,18.1
108,서울,2022-06-01 00:51,18.1
108,서울,2022-06-01 00:52,18.1
