,temp,step_check,persis
2022-06-01 0:01,18.6,,
2022-06-01 0:02,18.6,0,0
2022-06-01 0:03,18.6,0,0
2022-06-01 0:04,18.6,0,0
2022-06-01 0:05,18.6,0,0
2022-06-01 0:06,18.6,0,0
2022-06-01 0:07,18.6,0,0
2022-06-01 0:08,18.5,-0.1,0.1
2022-06-01 0:09,18.5,0,0
2022-06-01 0:10,18.5,0,0
2022-06-01 0:11,18.5,0,0
2022-06-01 0:12,18.5,0,0
2022-06-01 0:13,18.5,0,0
2022-06-01 0:14,18.5,0,0
2022-06-01 0:15,18.5,0,0
2022-06-01 0:16,18.5,0,0
2022-06-01 0:17,18.5,0,0
2022-06-01 0:18,18.5,0,0
2022-06-01 0:19,18.5,0,0
2022-06-01 0:20,18.4,-0.1,0.1
2022-06-01 0:21,18.4,0,0
2022-06-01 0:22,18.4,0,0
2022-06-01 0:23,18.4,0,0
2022-06-01 0:24,18.4,0,0
2022-06-01 0:25,18.4,0,0
2022-06-01 0:26,18.4,0,0
2022-06-01 0:27,18.4,0,0
2022-06-01 0:28,18.4,0,0
2022-06-01 0:29,18.4,0,0
2022-06-01 0:30,18.4,0,0
2022-06-01 0:31,18.4,0,0
2022-06-01 0:32,18.4,0,0
2022-06-01 0:33,18.4,0,0
2022-06-01 0:34,18.4,0,0
2022-06-01 0:35,18.4,0,0
2022-06-01 0:36,18.3,-0.1,0.1
2022-06-01 0:37,18.3,0,0
2022-06-01 0:38,18.3,0,0
2022-06-01 0:39,18.3,0,0
2022-06-01 0:40,18.3,0,0
2022-06-01 0:41,18.3,0,0
2022-06-01 0:42,18.3,0,0
2022-06-01 0:43,18.2,-0.1,0.1
2022-06-01 0:44,18.2,0,0
2022-06-01 0:45,18.2,0,0
2022-06-01 0:46,18.1,-0.1,0.1
2022-06-01 0:47,18.1,0,0
2022-06-01 0:48,18.1,0,0
2022-06-01 0:49,18.1,0,0
2022-06-01 0:50,18.1,0,0
2022-06-01 0:51,18.1,0,0
2022-06-01 0:52,18.1,0,0
2022-06-01 0:53,18.1,0,0
2022-06-01 0:54,18.1,0,0
2022-06-01 0:55,18.1,0,0
2022-06-01 0:56,18.1,0,0
2022-06-01 0:57,18.1,0,0
2022-06-01 0:58,18,-0.1,0.1
2022-06-01 0:59,18,0,0
2022-06-01 1:00,18,0,0
2022-06-01 1:01,18,0,0
2022-06-01 1:02,18,0,0
2022-06-01 1:03,18,0,0
2022-06-01 1:04,18,0,0
2022-06-01 1:05,18,0,0
2022-06-01 1:06,18,0,0
2022-06-01 1:07,18,0,0
2022-06-01 1:08,18,0,0
2022-06-01 1:09,18,0,0
2022-06-01 1:10,18,0,0
2022-06-01 1:11,18,0,0
2022-06-01 1:12,18,0,0
2022-06-01 1:13,18,0,0
2022-06-01 1:14,18,0,0
2022-06-01 1:15,17.9,-0.1,0.1
2022-06-01 1:16,17.9,0,0
2022-06-01 1:17,17.9,0,0
2022-06-01 1:18,17.9,0,0
2022-06-01 1:19,17.9,0,0
2022-06-01 1:20,17.9,0,0
2022-06-01 1:21,17.9,0,0
2022-06-01 1:22,17.9,0,0
2022-06-01 1:23,17.9,0,0
2022-06-01 1:24,17.9,0,0
2022-06-01 1:25,17.9,0,0
2022-06-01 1:26,17.9,0,0
2022-06-01 1:27,17.8,-0.1,0.1
2022-06-01 1:28,17.8,0,0
2022-06-01 1:29,17.8,0,0
2022-06-01 1:30,17.8,0,0
2022-06-01 1:31,17.8,0,0
2022-06-01 1:32,17.8,0,0
2022-06-01 1:33,17.8,0,0
2022-06-01 1:34,17.8,0,0
2022-06-01 1:35,17.8,0,0
2022-06-01 1:36,17.8,0,0
2022-06-01 1:37,17.8,0,0
2022-06-01 1:38,17.9,0.1,0.1
2022-06-01 1:39,17.9,0,0
2022-06-01 1:40,17.9,0,0
2022-06-01 1:41,17.9,0,0
2022-06-01 1:42,17.9,0,0
2022-06-01 1:43,17.9,0,0
2022-06-01 1:44,17.9,0,0
2022-06-01 1:45,17.9,0,0
2022-06-01 1:46,18,0.1,0.1
2022-06-01 1:47,18,0,0
2022-06-01 1:48,18,0,0
2022-06-01 1:49,18,0,0
2022-06-01 1:50,17.9,-0.1,0.1
2022-06-01 1:51,17.9,0,0
2022-06-01 1:52,17.9,0,0
2022-06-01 1:53,17.9,0,0
2022-06-01 1:54,17.9,0,0
2022-06-01 1:55,17.8,-0.1,0.1
2022-06-01 1:56,17.8,0,0
2022-06-01 1:57,17.8,0,0
2022-06-01 1:58,17.7,-0.1,0.1
2022-06-01 1:59,17.7,0,0
2022-06-01 2:00,17.7,0,0
2022-06-01 2:01,17.7,0,0
2022-06-01 2:02,17.6,-0.1,0.1
2022-06-01 2:03,17.6,0,0
2022-06-01 2:04,17.6,0,0
2022-06-01 2:05,17.6,0,0
2022-06-01 2:06,17.6,0,0
2022-06-01 2:07,17.6,0,0
2022-06-01 2:08,17.6,0,0
2022-06-01 2:09,17.6,0,0
2022-06-01 2:10,17.5,-0.1,0.1
2022-06-01 2:11,17.5,0,0
2022-06-01 2:12,17.5,0,0
2022-06-01 2:13,17.4,-0.1,0.1
2022-06-01 2:14,17.4,0,0
2022-06-01 2:15,17.4,0,0
2022-06-01 2:16,17.3,-0.1,0.1
2022-06-01 2:17,17.3,0,0
2022-06-01 2:18,17.3,0,0
2022-06-01 2:19,17.3,0,0
2022-06-01 2:20,17.2,-0.1,0.1
2022-06-01 2:21,17.2,0,0
2022-06-01 2:22,17.2,0,0
2022-06-01 2:23,17.2,0,0
2022-06-01 2:24,17.2,0,0
2022-06-01 2:25,17.2,0,0
2022-06-01 2:26,17.1,-0.1,0.1
2022-06-01 2:27,17.1,0,0
2022-06-01 2:28,17.1,0,0
2022-06-01 2:29,17.1,0,0
2022-06-01 2:30,17.1,0,0
2022-06-01 2:31,17.1,0,0
2022-06-01 2:32,17.1,0,0
2022-06-01 2:33,17,-0.1,0.1
2022-06-01 2:34,17,0,0
2022-06-01 2:35,17,0,0
2022-06-01 2:36,17,0,0
2022-06-01 2:37,17.1,0.1,0.1
2022-06-01 2:38,17.1,0,0
2022-06-01 2:39,17,-0.1,0.1
2022-06-01 2:40,17,0,0
2022-06-01 2:41,17,0,0
2022-06-01 2:42,17,0,0
2022-06-01 2:43,17,0,0
2022-06-01 2:44,16.9,-0.1,0.1
2022-06-01 2:45,16.9,0,0
2022-06-01 2:46,16.9,0,0
2022-06-01 2:47,16.9,0,0
2022-06-01 2:48,16.8,-0.1,0.1
2022-06-01 2:49,16.8,0,0
2022-06-01 2:50,16.8,0,0
2022-06-01 2:51,16.8,0,0
