time,linear,quadratic,cubic
2021-06-01,20.32,20.32,20.32
2021-06-02,23.01,23.01,23.01
2021-06-03,19.71,19.71,19.71
2021-06-04,18.13,18.13,18.13
2021-06-05,20.68,20.68,20.68
2021-06-06,22.75,22.75,22.75
2021-06-07,21.14,21.14,21.14
2021-06-08,23.43,23.43,23.43
2021-06-09,25.57,25.57,25.57
2021-06-10,25.3,25.3,25.3
2021-06-11,21.53,21.53,21.53
2021-06-12,23.22,22.41,22.24
2021-06-13,24.92,24.92,24.92
2021-06-14,24.63,24.63,24.63
2021-06-15,22.63,22.63,22.63
2021-06-16,24.37,24.37,24.37
2021-06-17,21.88,21.88,21.88
2021-06-18,20.11,20.11,20.11
2021-06-19,22.26,22.26,22.26
2021-06-20,22.89,22.89,22.89
2021-06-21,22.66,22.73,22.62
2021-06-22,22.43,22.23,22.28
2021-06-23,22.2,22.2,22.2
2021-06-24,22.86,22.86,22.86
2021-06-25,24.03,24.03,24.03
2021-06-26,22.87,22.87,22.87
2021-06-27,24.18,24.18,24.18
2021-06-28,23.59,23.59,23.59
2021-06-29,23.82,23.82,23.82
2021-06-30,24.13,24.13,24.13
2021-07-01,26.18,26.18,26.18
2021-07-02,27.08,27.08,27.08
2021-07-03,23.06,23.06,23.06
2021-07-04,21.28,21.28,21.28
2021-07-05,23.06,23.06,23.06
2021-07-06,25.14,25.14,25.14
2021-07-07,26.3,26.3,26.3
2021-07-08,25.96,25.96,25.96
2021-07-09,25.41,25.41,25.41
2021-07-10,25.81,25.81,25.81
2021-07-11,25.75,25.75,25.75
2021-07-12,27.89,27.89,27.89
2021-07-13,28.69,28.69,28.69
2021-07-14,29.67,29.67,29.67
2021-07-15,29.34,29.34,29.34
2021-07-16,28.69,28.69,28.69
2021-07-17,28.8,28.8,28.8
2021-07-18,29.62,29.62,29.62
2021-07-19,26.84,26.84,26.84
2021-07-20,27.62,27.62,27.62
2021-07-21,30.32,30.32,30.32
2021-07-22,31.14,31.14,31.14
2021-07-23,31.28,31.28,31.28
2021-07-24,31.6,31.6,31.6
2021-07-25,31.5,31.5,31.5
2021-07-26,31.3,31.3,31.3
2021-07-27,31.0,31.0,31.0
2021-07-28,30.3,30.3,30.3
2021-07-29,29.74,29.74,29.74
2021-07-30,30.31,30.31,30.31
2021-07-31,29.8,29.8,29.8
2021-08-01,27.31,27.31,27.31
2021-08-02,26.43,26.43,26.43
2021-08-03,27.7,27.7,27.7
2021-08-04,29.02,29.02,29.02
2021-08-05,29.21,29.21,29.21
2021-08-06,28.18,28.18,28.18
2021-08-07,27.85,27.85,27.85
2021-08-08,26.8,26.8,26.8
2021-08-09,28.13,28.13,28.13
2021-08-10,27.75,27.75,27.75
2021-08-11,27.33,27.33,27.33
2021-08-12,26.94,26.94,26.94
2021-08-13,26.41,26.41,26.41
2021-08-14,26.26,26.26,26.26
2021-08-15,26.82,26.82,26.82
2021-08-16,27.28,27.28,27.28
2021-08-17,26.23,26.23,26.23
2021-08-18,24.27,24.27,24.27
2021-08-19,25.76,25.76,25.76
2021-08-20,26.74,26.74,26.74
2021-08-21,23.79,23.79,23.79
2021-08-22,24.44,24.44,24.44
2021-08-23,22.57,22.57,22.57
2021-08-24,23.13,23.13,23.13
2021-08-25,24.88,24.88,24.88
2021-08-26,25.29,25.29,25.29
2021-08-27,22.91,22.91,22.91
2021-08-28,23.28,23.28,23.28
2021-08-29,23.77,23.77,23.77
2021-08-30,24.19,24.19,24.19
2021-08-31,20.7,20.7,20.7
2021-09-01,21.13,21.13,21.13
