지점,지점명,일시,기온(°C)
108,서울,2022-06-06 00:01,20.2
108,서울,2022-06-06 00:02,20.2
108,서울,2022-06-06 00:03,20.2
108,서울,2022-06-06 00:04,20.2
108,서울,2022-06-06 00:05,20.2
108,서울,2022-06-06 00:06,20.2
108,서울,2022-06-06 00:07,20.2
108,서울,2022-06-06 00:08,20.2
108,서울,2022-06-06 00:09,20.2
108,서울,2022-06-06 00:10,20.2
108,서울,2022-06-06 00:11,20.2
108,서울,2022-06-06 00:12,20.2
108,서울,2022-06-06 00:13,20.2
108,서울,2022-06-06 00:14,20.2
108,서울,2022-06-06 00:15,20.2
108,서울,2022-06-06 00:16,20.2
108,서울,2022-06-06 00:17,20.2
108,서울,2022-06-06 00:18,20.2
108,서울,2022-06-06 00:19,20.2
108,서울,2022-06-06 00:20,20.2
108,서울,2022-06-06 00:21,20.2
108,서울,2022-06-06 00:22,20.2
108,서울,2022-06-06 00:23,20.2
108,서울,2022-06-06 00:24,20.2
108,서울,2022-06-06 00:25,20.2
108,서울,2022-06-06 00:26,20.2
108,서울,2022-06-06 00:27,20.2
108,서울,2022-06-06 00:28,20.2
108,서울,2022-06-06 00:29,20.2
108,서울,2022-06-06 00:30,20.2
108,서울,2022-06-06 00:31,20.2
108,서울,2022-06-06 00:32,20.2
108,서울,2022-06-06 00:33,20.2
108,서울,2022-06-06 00:34,20.2
108,서울,2022-06-06 00:35,20.2
108,서울,2022-06-06 00:36,20.2
108,서울,2022-06-06 00:37,20.2
108,서울,2022-06-06 00:38,20.2
108,서울,2022-06-06 00:39,20.2
108,서울,2022-06-06 00:40,20.2
108,서울,2022-06-06 00:41,20.2
108,서울,2022-06-06 00:42,20.2
108,서울,2022-06-06 00:43,20.2
108,서울,2022-06-06 00:44,20.2
108,서울,2022-06-06 00:45,20.2
108,서울,2022-06-06 00:46,20.2
108,서울,2022-06-06 00:47,20.2
108,서울,2022-06-06 00:48,20.2
108,서울,2022-06-06 00:49,20.2
108,서울,2022-06-06 00:50,20.2
108,서울,2022-06-06 00:51,20.2
108,서울,2022-06-06 00:52,20.2
108,서울,2022-06-06 00:53,20.2
108,서울,2022-06-06 00:54,20.2
108,서울,2022-06-06 00:55,20.2
108,서울,2022-06-06 00:56,20.2
108,서울,2022-06-06 00:57,20.2
108,서울,2022-06-06 00:58,20.2
108,서울,2022-06-06 00:59,20.2
108,서울,2022-06-06 01:00,20.2
108,서울,2022-06-06 01:01,20.2
108,서울,2022-06-06 01:02,20.1
108,서울,2022-06-06 01:03,20.1
108,서울,2022-06-06 01:04,20.1
108,서울,2022-06-06 01:05,20.1
108,서울,2022-06-06 01:06,20.1
108,서울,2022-06-06 01:07,20.1
108,서울,2022-06-06 01:08,20.1
108,서울,2022-06-06 01:09,20.1
108,서울,2022-06-06 01:10,20.1
108,서울,2022-06-06 01:11,20.1
108,서울,2022-06-06 01:12,20.1
108,서울,2022-06-06 01:13,20.1
108,서울,2022-06-06 01:14,20.1
108,서울,2022-06-06 01:15,20.1
108,서울,2022-06-06 01:16,20.1
108,서울,2022-06-06 01:17,20.1
108,서울,2022-06-06 01:18,20.1
108,서울,2022-06-06 01:19,20.1
108,서울,2022-06-06 01:20,20.1
108,서울,2022-06-06 01:21,20.1
108,서울,2022-06-06 01:22,20.1
108,서울,2022-06-06 01:23,20.1
108,서울,2022-06-06 01:24,20.1
108,서울,2022-06-06 01:25,20
108,서울,2022-06-06 01:26,20
108,서울,2022-06-06 01:27,20
108,서울,2022-06-06 01:28,20
108,서울,2022-06-06 01:29,20
108,서울,2022-06-06 01:30,20
108,서울,2022-06-06 01:31,20
108,서울,2022-06-06 01:32,20
108,서울,2022-06-06 01:33,20
108,서울,2022-06-06 01:34,20
108,서울,2022-06-06 01:36,20
108,서울,2022-06-06 01:37,19.9
108,서울,2022-06-06 01:38,19.9
108,서울,2022-06-06 01:39,19.9
108,서울,2022-06-06 01:40,19.9
108,서울,2022-06-06 01:41,19.9
108,서울,2022-06-06 01:42,19.9
108,서울,2022-06-06 01:43,19.9
108,서울,2022-06-06 01:44,19.9
108,서울,2022-06-06 01:45,19.9
108,서울,2022-06-06 01:46,19.9
108,서울,2022-06-06 01:47,19.9
108,서울,2022-06-06 01:48,19.9
108,서울,2022-06-06 01:49,19.9
108,서울,2022-06-06 01:50,19.9
108,서울,2022-06-06 01:51,19.9
