time,means
2021-06-01,20.32
2021-06-02,23.01
2021-06-03,19.71
2021-06-04,18.13
2021-06-05,20.68
2021-06-06,22.75
2021-06-07,21.14
2021-06-08,23.43
2021-06-09,25.57
2021-06-10,25.3
2021-06-11,21.53
2021-06-12,
2021-06-13,24.92
2021-06-14,24.63
2021-06-15,22.63
2021-06-16,24.37
2021-06-17,21.88
2021-06-18,20.11
2021-06-19,22.26
2021-06-20,22.89
2021-06-21,
2021-06-22,
2021-06-23,22.2
2021-06-24,22.86
2021-06-25,24.03
2021-06-26,22.87
2021-06-27,24.18
2021-06-28,23.59
2021-06-29,23.82
2021-06-30,24.13
2021-07-01,26.18
2021-07-02,27.08
2021-07-03,23.06
2021-07-04,21.28
2021-07-05,23.06
2021-07-06,25.14
2021-07-07,26.3
2021-07-08,25.96
2021-07-09,25.41
2021-07-10,25.81
2021-07-11,25.75
2021-07-12,27.89
2021-07-13,28.69
2021-07-14,29.67
2021-07-15,29.34
2021-07-16,28.69
2021-07-17,28.8
2021-07-18,29.62
2021-07-19,26.84
2021-07-20,27.62
2021-07-21,30.32
2021-07-22,31.14
2021-07-23,31.28
2021-07-24,31.6
2021-07-25,31.5
2021-07-26,31.3
2021-07-27,31.0
2021-07-28,30.3
2021-07-29,29.74
2021-07-30,30.31
2021-07-31,29.8
2021-08-01,27.31
2021-08-02,26.43
2021-08-03,27.7
2021-08-04,29.02
2021-08-05,29.21
2021-08-06,28.18
2021-08-07,27.85
2021-08-08,26.8
2021-08-09,28.13
2021-08-10,27.75
2021-08-11,27.33
2021-08-12,26.94
2021-08-13,26.41
2021-08-14,26.26
2021-08-15,26.82
2021-08-16,27.28
2021-08-17,26.23
2021-08-18,24.27
2021-08-19,25.76
2021-08-20,26.74
2021-08-21,23.79
2021-08-22,24.44
2021-08-23,22.57
2021-08-24,23.13
2021-08-25,24.88
2021-08-26,25.29
2021-08-27,22.91
2021-08-28,23.28
2021-08-29,23.77
2021-08-30,24.19
2021-08-31,20.7
2021-09-01,21.13
2021-09-02,23.32
2021-09-03,24.51
2021-09-04,23.12
2021-09-05,22.96
2021-09-06,22.55
2021-09-07,19.4
2021-09-08,22.23
2021-09-09,23.42
2021-09-10,23.6
2021-09-11,23.92
2021-09-12,24.25
2021-09-13,24.61
2021-09-14,24.66
2021-09-15,23.69
2021-09-16,22.78
2021-09-17,23.51
2021-09-18,23.72
2021-09-19,23.8
2021-09-20,23.44
2021-09-21,22.43
2021-09-22,20.17
2021-09-23,20.73
2021-09-24,21.71
2021-09-25,21.06
2021-09-26,22.6
2021-09-27,21.49
2021-09-28,21.46
2021-09-29,20.31
2021-09-30,20.26
2021-10-01,21.25
2021-10-02,20.49
2021-10-03,22.19
2021-10-04,22.52
2021-10-05,23.85
2021-10-06,19.03
2021-10-07,19.53
2021-10-08,18.67
2021-10-09,20.77
2021-10-10,20.22
2021-10-11,15.08
2021-10-12,17.93
2021-10-13,19.45
2021-10-14,19.8
2021-10-15,19.04
2021-10-16,11.67
2021-10-17,5.58
2021-10-18,9.1
2021-10-19,11.21
2021-10-20,9.51
2021-10-21,9.7
2021-10-22,10.78
2021-10-23,11.39
2021-10-24,11.25
2021-10-25,11.61
2021-10-26,12.73
2021-10-27,13.64
2021-10-28,12.61
2021-10-29,14.5
2021-10-30,13.81
2021-10-31,14.04
2021-11-01,13.01
2021-11-02,11.55
2021-11-03,11.9
2021-11-04,12.25
2021-11-05,12.92
2021-11-06,14.05
2021-11-07,15.01
2021-11-08,9.49
2021-11-09,4.99
2021-11-10,4.04
2021-11-11,5.38
2021-11-12,4.53
